dataset,method,chunk_size,max_queries,MRR_A,Recall@1_A,Recall@5_A,Recall@10_A,Recall@100_A,NDCG@1_A,NDCG@5_A,NDCG@10_A,NDCG@100_A,MRR_B,Recall@1_B,Recall@5_B,Recall@10_B,Recall@100_B,NDCG@1_B,NDCG@5_B,NDCG@10_B,NDCG@100_B,delta_MRR,delta_Recall@1,delta_Recall@5,delta_Recall@10,delta_Recall@100,delta_NDCG@1,delta_NDCG@5,delta_NDCG@10,delta_NDCG@100,time_seconds_A,time_seconds_B
arguana,dense,chunk_128,200,0.18504580018298505,0.005,0.3258333333333333,0.54125,0.9408333333333333,0.005,0.1771831470731181,0.25169254492304066,0.3493272443159335,0.1879394906,0.0048977872,0.3267552165,0.5414315842,0.9296887848,0.0050767955,0.1745294075,0.2503232102,0.3540944182,-0.0028936904170149547,0.00010221280000000024,-0.0009218831666666927,-0.00018158420000002895,0.011144548533333354,-7.67954999999999e-05,0.002653739573118097,0.0013693347230406827,-0.0047671738840665,43.903,43.7746766943
arguana,dense,chunk_256,200,0.22097771001737812,0.0,0.47,0.6625,0.9591666666666667,0.0,0.24918380412809987,0.3133975462032536,0.38345621676805786,0.2263741643,0.0,0.4662579038,0.6620738084,0.9736516214,0.0,0.2524866667,0.3178191356,0.3865964327,-0.005396454282621893,0.0,0.003742096199999989,0.0004261916000000143,-0.014484954733333222,0.0,-0.0033028625719001004,-0.004421589396746417,-0.0031402159319421363,45.619,46.8559681303
arguana,dense,chunk_512,200,0.21959926489348217,0.0,0.485,0.69,0.955,0.0,0.2521360951365669,0.3202318461817511,0.38241448630451025,0.2230400477,0.0,0.4729775775,0.6831857486,0.9573919715,0.0,0.2536248996,0.316496484,0.3905754288,-0.003440782806517828,0.0,0.012022422499999963,0.0068142513999999155,-0.002391971500000034,0.0,-0.0014888044634331354,0.0037353621817510785,-0.008160942495489765,43.906,45.8126077291
arguana,dense,original,200,0.23537436205783244,0.0,0.52,0.725,0.965,0.0,0.2753832791011802,0.3420041826782226,0.39772940760895936,0.2323718352,0.0,0.5239942641,0.7317845888,0.9879604703,0.0,0.281996139,0.345341183,0.4042143987,0.0030025268578324493,0.0,-0.003994264100000033,-0.006784588799999991,-0.022960470300000035,0.0,-0.006612859898819767,-0.003337000321777417,-0.006484991091040615,43.024,41.6104579967
arguana,hybrid,chunk_128,200,0.1913867527028437,0.0,0.35,0.5304166666666666,0.9318333333333332,0.0,0.18716624862734257,0.25048199706071084,0.34546764284454556,0.1898395918,0.0,0.3440313225,0.541499183,0.9352441076,0.0,0.1845420839,0.2449475708,0.3527139002,0.0015471609028436806,0.0,0.005968677499999964,-0.011082516333333348,-0.003410774266666805,0.0,0.002624164727342587,0.005534426260710851,-0.007246257355454422,141.401,148.42725035
arguana,hybrid,chunk_256,200,0.20421619510600472,0.0,0.44,0.615,0.9608333333333333,0.0,0.23067795583612738,0.2881619035216332,0.36588928729770437,0.2064915818,0.0,0.4358759511,0.6150113085,0.9510646941,0.0,0.2351051949,0.2925638764,0.3608446858,-0.0022753866939952683,0.0,0.00412404890000001,-1.130849999997352e-05,0.009768639233333265,0.0,-0.004427239063872629,-0.0044019728783668,0.00504460149770436,109.62,113.2362126107
arguana,hybrid,chunk_512,200,0.20557324062906215,0.0,0.445,0.645,0.9625,0.0,0.23364373591877632,0.29920871309329256,0.36835009461282797,0.2102362007,0.0,0.4430739544,0.6490531751,0.9457813528,0.0,0.2376201266,0.2947424699,0.3642912611,-0.004662960070937833,0.0,0.0019260455999999815,-0.004053175100000028,0.016718647200000047,0.0,-0.003976390681223685,0.0044662431932925295,0.004058833512827986,99.993,95.7897327233
arguana,hybrid,original,200,0.20940544641476463,0.0,0.445,0.62,0.965,0.0,0.23704718570822703,0.2946933187869236,0.3719895535428581,0.2061170019,0.0,0.4373376729,0.6263601486,0.9506562876,0.0,0.2340017885,0.2889074789,0.3699283505,0.0032884445147646213,0.0,0.007662327100000033,-0.006360148600000004,0.014343712399999986,0.0,0.003045397208227024,0.005785839886923605,0.0020612030428581174,100.464,105.1013606245
arguana,sparse,chunk_128,200,0.16980340563529756,0.0,0.31333333333333335,0.45958333333333323,0.7489166666666667,0.0,0.16489261849408268,0.2174926090376601,0.28798023757901087,0.1708138301,0.0,0.3185851003,0.4563200645,0.7384861978,0.0,0.1626858449,0.2218906577,0.2946081967,-0.001010424464702453,0.0,-0.005251766966666627,0.0032632688333332216,0.010430468866666653,0.0,0.002206773594082695,-0.004398048662339893,-0.006627959120989124,93.232,95.412756534
arguana,sparse,chunk_256,200,0.17484699605783105,0.0,0.37,0.5575,0.8158333333333333,0.0,0.19232142728050833,0.25432976336700597,0.311452067034139,0.1707526012,0.0,0.3790852743,0.5492747456,0.8072195099,0.0,0.1925146857,0.2581967584,0.3157498924,0.004094394857831057,0.0,-0.009085274300000001,0.008225254399999993,0.008613823433333279,0.0,-0.00019325841949166533,-0.003866995032994036,-0.0042978253658609855,59.805,60.2224114647
