dataset,method,n_configs,embed1_MRR,embed2_MRR,delta_MRR,embed1_Recall@1,embed2_Recall@1,delta_Recall@1,embed1_Recall@5,embed2_Recall@5,delta_Recall@5,embed1_Recall@10,embed2_Recall@10,delta_Recall@10,embed1_Recall@100,embed2_Recall@100,delta_Recall@100,embed1_NDCG@1,embed2_NDCG@1,delta_NDCG@1,embed1_NDCG@5,embed2_NDCG@5,delta_NDCG@5,embed1_NDCG@10,embed2_NDCG@10,delta_NDCG@10,embed1_NDCG@100,embed2_NDCG@100,delta_NDCG@100
arguana,dense,4,0.21524928428791942,0.21524928428791942,0.0,0.00125,0.00125,0.0,0.4502083333333333,0.4502083333333333,0.0,0.6546875,0.6546875,0.0,0.9550000000000001,0.9550000000000001,0.0,0.00125,0.00125,0.0,0.23847158135974125,0.23847158135974125,0.0,0.306831529996567,0.306831529996567,0.0,0.3782318387493653,0.3782318387493653,0.0
arguana,hybrid,4,0.2026454087131688,0.2026454087131688,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.6026041666666666,0.6026041666666666,0.0,0.9550416666666666,0.9550416666666666,0.0,0.0,0.0,0.0,0.2221337815226183,0.2221337815226183,0.0,0.28313648311564005,0.28313648311564005,0.0,0.362924144574484,0.362924144574484,0.0
arguana,sparse,4,0.17420527499046867,0.17420935995778897,-4.084967320260036e-06,0.0,0.0,0.0,0.3589583333333334,0.3589583333333334,0.0,0.5386458333333333,0.5386458333333333,0.0,0.7918125,0.7918125,0.0,0.0,0.0,0.0,0.1879149676964786,0.1879149676964786,0.0,0.24819302415275413,0.24819302415275413,0.0,0.30566460065793105,0.30567010509943293,-5.504441501866242e-06
dbpedia-entity,dense,4,0.7492400115390561,0.7492400115390561,0.0,0.007129747177926443,0.007129747177926443,0.0,0.027597609470517294,0.027597609470517294,0.0,0.04647884568298282,0.04647884568298282,0.0,0.1675370525333305,0.1675370525333305,0.0,0.30833333333333357,0.30833333333333357,0.0,0.2581008877079677,0.2581008877079677,0.0,0.2511516494572824,0.2511516494572824,0.0,0.29258776246092294,0.29258790499312926,-1.425322063153267e-07
dbpedia-entity,hybrid,4,0.8261271018147291,0.8262937684813958,-0.00016666666666667607,0.008252691503005031,0.008252691503005031,0.0,0.035056314202258236,0.03506517945048519,-8.865248226951408e-06,0.05959831392485664,0.05960314074777658,-4.826822919943435e-06,0.2428156986044405,0.24287640372373323,-6.070511929273659e-05,0.30125000000000024,0.30125000000000024,0.0,0.26505681571151923,0.2652022429679967,-0.00014542725647748167,0.26061532917888036,0.26071302424950793,-9.769507062758198e-05,0.3224679130221806,0.32253056596055235,-6.26529383717378e-05
dbpedia-entity,sparse,4,0.8093259969316511,0.8091176635983177,0.00020833333333333814,0.008168880132256933,0.008168880132256933,0.0,0.035422743326676276,0.035399712562646526,2.3030764029747727e-05,0.06035772810379186,0.06034559218995607,1.2135913835796888e-05,0.21812638248059663,0.21808680985020604,3.9572630390616315e-05,0.22625000000000003,0.22625000000000003,0.0,0.20164969090739043,0.20161093519602324,3.8755711367195744e-05,0.19512667982702311,0.19520578428181146,-7.910445478835626e-05,0.23786302760396855,0.23786468647936787,-1.6588753993379557e-06
fiqa,dense,4,0.43777183498971367,0.43777183498971367,0.0,0.14200855445616475,0.14200855445616475,0.0,0.2970113864893278,0.2970113864893278,0.0,0.3771741391778157,0.3771741391778157,0.0,0.6379991217932394,0.6379991217932394,0.0,0.33999999999999997,0.33999999999999997,0.0,0.3079292487227176,0.3079292487227176,0.0,0.3287381652346838,0.3287381652346838,0.0,0.40017904615416444,0.40017904615416444,0.0
fiqa,hybrid,4,0.36831065707097915,0.3683100657536991,5.913172799881794e-07,0.11026179253752783,0.11026179253752783,0.0,0.24422586247494338,0.24422586247494338,0.0,0.32094306592100713,0.32094306592100713,0.0,0.60772871593276,0.60772871593276,0.0,0.27999999999999997,0.27999999999999997,0.0,0.24969905698236594,0.24969905698236594,0.0,0.27109771466212146,0.27109771466212146,0.0,0.3518055015922625,0.35180482815952063,6.734327418350672e-07
fiqa,sparse,4,0.25786935804047767,0.2578691829704497,1.7507002800232208e-07,0.07782047690871219,0.07782047690871219,0.0,0.16202608135328722,0.16202608135328722,0.0,0.20495197888304503,0.20495197888304503,0.0,0.3643697903403786,0.3643697903403786,0.0,0.19624999999999998,0.19624999999999998,0.0,0.16381072909241065,0.16381072909241065,0.0,0.1760509559950752,0.1760509559950752,0.0,0.21902956187576927,0.21902940691548667,1.5496028259176509e-07
nfcorpus,dense,4,0.539158025136262,0.5387413584695953,0.00041666666666670404,0.042033841808236334,0.042010256902575954,2.3584905660377527e-05,0.10588803350090982,0.10592029896212575,-3.226546121593704e-05,0.14496517152250604,0.14496517152250604,0.0,0.26870352623950744,0.2687275647010459,-2.403846153846423e-05,0.4470833333333333,0.4458333333333333,0.0012499999999999872,0.38256823644641674,0.38285079711976805,-0.00028256067335129254,0.3544541189915885,0.35443819406795724,1.5924923631310817e-05,0.2965279886666068,0.29653661446366575,-8.62579705900035e-06
nfcorpus,hybrid,4,0.5864164973931393,0.5867172983166911,-0.00030080092355172505,0.057792240049832536,0.057792240049832536,0.0,0.1285876057126516,0.12873991831233264,-0.00015231259968101832,0.15382682576853893,0.15378314133819831,4.3684430340605596e-05,0.27030366370796666,0.271412871963813,-0.0011092082558462682,0.50125,0.5020833333333333,-0.0008333333333333248,0.4235565384765057,0.42315339463998203,0.00040314383652369223,0.38187570064390747,0.3818748611144736,8.395294338464643e-07,0.31665122249222544,0.3167759309819141,-0.0001247084896886519
nfcorpus,sparse,4,0.5566164862790675,0.5566292696710812,-1.2783392013715478e-05,0.05779668532224505,0.05779668532224505,0.0,0.12253817884240012,0.12253817884240012,0.0,0.14843773908177732,0.14843378673215887,3.9523496184398765e-06,0.21149044991304097,0.21137665032737732,0.00011379958566364728,0.46875,0.46875,0.0,0.3963403613149623,0.3963403613149623,0.0,0.35644707566492284,0.3563086547123109,0.00013842095261201726,0.2732900275139034,0.27325684896425195,3.31785496514303e-05
scifact,dense,4,0.6119441087129565,0.6119441087129565,0.0,0.40264384920634927,0.40264384920634927,0.0,0.6822316919191919,0.6822316919191919,0.0,0.74503841991342,0.74503841991342,0.0,0.9103896103896104,0.9103896103896104,0.0,0.51,0.51,0.0,0.603391134755784,0.603391134755784,0.0,0.6273079553185372,0.6273079553185372,0.0,0.6693712210180038,0.6693712210180038,0.0
scifact,hybrid,4,0.6833686043559714,0.6833686043559714,0.0,0.459061056998557,0.459061056998557,0.0,0.7334262265512266,0.7334262265512266,0.0,0.7808088023088022,0.7808088023088022,0.0,0.9463306277056276,0.9463306277056276,0.0,0.585,0.585,0.0,0.6651089630813267,0.6651346700237808,-2.570694245399019e-05,0.682418482775114,0.6824441897175679,-2.570694245399019e-05,0.7235887097079191,0.7236137004573714,-2.4990749452336036e-05
scifact,sparse,4,0.6439924638978825,0.6439924638978825,0.0,0.4290724206349206,0.4290724206349206,0.0,0.684734126984127,0.684734126984127,0.0,0.7457812950937951,0.7457812950937951,0.0,0.8799117965367965,0.8799117965367965,0.0,0.5412500000000001,0.5412500000000001,0.0,0.6187826617432544,0.6187826617432544,0.0,0.6409452893569004,0.6409452893569004,0.0,0.6760529453613645,0.6760529453613645,0.0
