dataset,method,chunk_size,max_queries,MRR_A,Recall@1_A,Recall@5_A,Recall@10_A,Recall@100_A,NDCG@1_A,NDCG@5_A,NDCG@10_A,NDCG@100_A,MRR_B,Recall@1_B,Recall@5_B,Recall@10_B,Recall@100_B,NDCG@1_B,NDCG@5_B,NDCG@10_B,NDCG@100_B,delta_MRR,delta_Recall@1,delta_Recall@5,delta_Recall@10,delta_Recall@100,delta_NDCG@1,delta_NDCG@5,delta_NDCG@10,delta_NDCG@100,time_seconds_A,time_seconds_B
arguana,dense,chunk_128,200,0.18504580018298505,0.005,0.3258333333333333,0.54125,0.9408333333333333,0.005,0.1771831470731181,0.25169254492304066,0.3493272443159335,0.18504580018298505,0.005,0.3258333333333333,0.54125,0.9408333333333333,0.005,0.1771831470731181,0.25169254492304066,0.3493272443159335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.903,8.04
arguana,dense,chunk_256,200,0.22097771001737812,0.0,0.47,0.6625,0.9591666666666667,0.0,0.24918380412809987,0.3133975462032536,0.38345621676805786,0.22097771001737812,0.0,0.47,0.6625,0.9591666666666667,0.0,0.24918380412809987,0.3133975462032536,0.38345621676805786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.619,7.267
arguana,dense,chunk_512,200,0.21959926489348217,0.0,0.485,0.69,0.955,0.0,0.2521360951365669,0.3202318461817511,0.38241448630451025,0.21959926489348217,0.0,0.485,0.69,0.955,0.0,0.2521360951365669,0.3202318461817511,0.38241448630451025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.906,6.573
arguana,dense,original,200,0.23537436205783244,0.0,0.52,0.725,0.965,0.0,0.2753832791011802,0.3420041826782226,0.39772940760895936,0.23537436205783244,0.0,0.52,0.725,0.965,0.0,0.2753832791011802,0.3420041826782226,0.39772940760895936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.024,6.312
arguana,hybrid,chunk_128,200,0.1913867527028437,0.0,0.35,0.5304166666666666,0.9318333333333332,0.0,0.18716624862734257,0.25048199706071084,0.34546764284454556,0.1913867527028437,0.0,0.35,0.5304166666666666,0.9318333333333332,0.0,0.18716624862734257,0.25048199706071084,0.34546764284454556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.401,201.834
arguana,hybrid,chunk_256,200,0.20421619510600472,0.0,0.44,0.615,0.9608333333333333,0.0,0.23067795583612738,0.2881619035216332,0.36588928729770437,0.20421619510600472,0.0,0.44,0.615,0.9608333333333333,0.0,0.23067795583612738,0.2881619035216332,0.36588928729770437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.62,128.902
arguana,hybrid,chunk_512,200,0.20557324062906215,0.0,0.445,0.645,0.9625,0.0,0.23364373591877632,0.29920871309329256,0.36835009461282797,0.20557324062906215,0.0,0.445,0.645,0.9625,0.0,0.23364373591877632,0.29920871309329256,0.36835009461282797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.993,105.091
arguana,hybrid,original,200,0.20940544641476463,0.0,0.445,0.62,0.965,0.0,0.23704718570822703,0.2946933187869236,0.3719895535428581,0.20940544641476463,0.0,0.445,0.62,0.965,0.0,0.23704718570822703,0.2946933187869236,0.3719895535428581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.464,105.28
arguana,sparse,chunk_128,200,0.16980340563529756,0.0,0.31333333333333335,0.45958333333333323,0.7489166666666667,0.0,0.16489261849408268,0.2174926090376601,0.28798023757901087,0.16980340563529756,0.0,0.31333333333333335,0.45958333333333323,0.7489166666666667,0.0,0.16489261849408268,0.2174926090376601,0.28798023757901087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.232,190.574
arguana,sparse,chunk_256,200,0.17484699605783105,0.0,0.37,0.5575,0.8158333333333333,0.0,0.19232142728050833,0.25432976336700597,0.311452067034139,0.1748633359271121,0.0,0.37,0.5575,0.8158333333333333,0.0,0.19232142728050833,0.25432976336700597,0.3114740848001465,-1.6339869281040142e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2017766007464967e-05,59.805,136.344
arguana,sparse,chunk_512,200,0.1766237267804765,0.0,0.3725,0.5725,0.7975,0.0,0.19561806759520295,0.2616225609933682,0.3118262576737656,0.1766237267804765,0.0,0.3725,0.5725,0.7975,0.0,0.19561806759520295,0.2616225609933682,0.3118262576737656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.437,126.514
